DateKey,metered_consumption,peak_demand
20180101,636.3860000000001,37.225
20180102,725.755,40.93
20180103,747.274,40.436
20180104,741.5509999999996,42.618
20180105,689.5090000000002,42.918
20180106,874.8630000000002,62.061
20180107,635.6659999999998,37.529
20180108,696.0699999999998,39.328
20180109,1465.8250000000003,80.87100000000001
20180110,1623.697,98.414
20180111,1102.784,68.087
20180112,684.6739999999999,41.824
20180113,619.305,41.929
20180114,751.7100000000002,47.547
20180115,854.3159999999999,52.392
20180116,759.8329999999999,48.008
20180117,819.352,53.903
20180118,895.3120000000002,51.43
20180119,1031.7070000000003,66.049
20180120,802.714,51.115
20180121,756.3139999999999,47.671
20180122,856.1490000000002,56.886
20180123,792.5480000000002,51.372
20180124,772.5800000000003,48.151
20180125,762.346,45.72
20180126,745.2690000000001,47.829
20180127,734.3090000000001,47.544
20180128,965.5489999999996,67.086
20180129,1206.5020000000002,73.683
20180130,782.671,48.802
20180131,787.9889999999999,49.303
20180201,823.0349999999999,49.239
20180202,791.032,52.373
20180203,763.7120000000002,49.827
20180204,676.2669999999998,47.235
20180205,846.9120000000001,50.267
20180206,880.463,63.579
20180207,1024.2279999999996,65.5
20180208,925.2340000000003,54.425
20180209,1607.6259999999995,85.021
20180210,1267.2600000000004,79.363
20180211,983.2669999999996,59.966
20180212,708.986,46.06399999999999
20180213,886.352,55.79
20180214,835.3120000000002,55.154
20180215,805.6350000000001,50.088
20180216,768.1489999999999,47.844
20180217,629.0709999999998,36.757
20180218,607.549,41.566
20180219,801.2710000000002,46.506
20180220,830.5879999999995,57.481
20180221,875.2300000000001,51.7
20180222,873.9109999999996,54.462
20180223,820.6339999999999,51.77
20180224,844.5490000000002,52.768
20180225,654.549,43.074
20180226,832.876,47.322
20180227,870.743,47.277
20180228,892.1150000000001,52.201
20180301,854.435,46.518
20180302,748.9940000000001,43.319
20180303,707.6350000000001,48.75
20180304,623.626,39.506
20180305,808.1549999999999,47.619
20180306,833.0729999999998,49.529
20180307,813.6760000000004,47.233
20180308,801.8650000000002,49.305
20180309,2102.306,119.215
20180310,1131.8229999999994,69.889
20180311,894.1900000000002,48.413000000000004
20180312,1029.3920000000005,73.906
20180313,814.073,47.293
20180314,833.8730000000004,45.947
20180315,855.915,49.17
20180316,775.0349999999999,44.783
20180317,741.1510000000004,46.388
20180318,675.5459999999997,40.288
20180319,827.668,48.658
20180320,828.5560000000002,53.669
20180321,920.9470000000003,62.238
20180322,927.9900000000005,70.095
20180323,851.1919999999997,52.071
20180324,689.9860000000003,45.868
20180325,708.5869999999999,44.156
20180326,995.5870000000003,61.16
20180327,964.7500000000002,57.339
20180328,894.2719999999998,48.066
20180329,788.8340000000001,46.07
20180330,755.1529999999997,47.21
20180331,638.1899999999997,44.745
20180401,690.6289999999999,46.721
20180402,731.3509999999998,48.298
20180403,731.631,46.682
20180404,867.3140000000001,49.535
20180405,902.0220000000002,51.704
20180406,851.233,53.711
20180407,771.1130000000002,48.63
20180408,805.4360000000004,41.445
20180409,1979.0269999999994,123.146
20180410,1352.3400000000001,81.726
20180411,932.4290000000003,59.873000000000005
20180412,866.7899999999996,56.184
20180413,778.196,45.403
20180414,857.0280000000001,59.401
20180415,961.8280000000002,66.892
20180416,1227.5800000000002,77.123
20180417,1341.7909999999995,86.041
20180418,1283.3000000000004,69.877
20180419,1123.025,62.855
20180420,977.6250000000001,55.513
20180421,791.474,44.864
20180422,803.991,50.681
20180423,1069.9859999999999,68.403
20180424,910.2279999999998,55.169
20180425,796.1129999999998,47.277
20180426,1004.703,62.394
20180427,1034.3460000000002,60.978
20180428,976.3869999999998,56.767
20180429,940.7520000000001,60.671
20180430,1395.2140000000006,82.36
20180501,1615.8320000000006,89.687
20180502,1457.304,94.904
20180503,1252.152,87.727
20180504,1345.6980000000008,85.825
20180505,1153.578,66.619
20180506,1177.4250000000002,68.124
20180507,1419.459,78.653
20180508,1378.6260000000004,80.753
20180509,1692.7460000000003,100.87299999999999
20180510,1245.9019999999994,78.91
20180511,1043.7490000000003,58.818000000000005
20180512,874.2740000000002,51.111999999999995
20180513,1207.8140000000003,74.744
20180514,1746.666,101.474
20180515,1944.508,106.11
20180516,1881.9879999999998,96.549
20180517,1705.9440000000002,102.251
20180518,1584.2230000000004,94.167
20180519,1189.4660000000003,68.391
20180520,1029.2640000000004,57.912
20180521,1647.9840000000002,102.549
20180522,1626.184,95.74
20180523,1658.3480000000004,89.903
20180524,1534.943,78.79
20180525,1421.0650000000003,81.364
20180526,1059.1040000000005,64.802
20180527,979.0310000000002,58.087
20180528,1402.8609999999999,83.908
20180529,1355.3420000000003,73.786
20180530,1461.3029999999999,82.081
20180531,1567.7809999999995,86.865
20180601,1643.7490000000007,86.566
20180602,1328.6170000000002,69.307
20180603,1311.455,75.135
20180604,1655.506,96.535
20180605,1740.9430000000004,102.554
20180606,1724.145,100.286
20180607,1714.345,101.349
20180608,1498.1410000000008,79.425
20180609,1517.496999999999,96.4
20180610,1022.4240000000003,67.85600000000001
20180611,1095.705,74.361
20180612,902.5140000000005,57.345
20180613,1795.5880000000002,111.169
20180614,1786.9480000000005,96.846
20180615,1745.9450000000004,90.735
20180616,1473.741,73.136
20180617,1395.8620000000003,76.676
20180618,1938.0650000000007,106.262
20180619,1884.1490000000003,104.3
20180620,2024.7800000000002,140.903
20180623,1551.6640000000007,80.943
20180624,1540.982,78.823
20180625,2164.461,117.944
20180626,2134.55,108.794
20180627,2005.6300000000006,110.632
20180628,1942.9849999999992,103.882
20180629,1910.7469999999998,95.607
