DateKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,Day,Weekday,IsWeekend,IsHoliday,DOWInMonth,WeekOfMonth,WeekOfYear,Month,Quarter,Year
20180101,18.489583333333332,19.367708333333333,12.376041666666666,67.84375,1,2,0,1,1,1,1,1,1,2018
20180102,16.657291666666666,18.729166666666668,10.950000000000001,61.822916666666664,2,3,0,0,1,1,1,1,1,2018
20180103,15.490625,17.532291666666666,10.322916666666666,66.19791666666667,3,4,0,0,1,1,1,1,1,2018
20180104,17.267708333333335,18.486458333333335,11.434375000000001,66.29166666666667,4,5,0,0,1,1,1,1,1,2018
20180105,21.91979166666667,22.272916666666664,12.432291666666666,60.114583333333336,5,6,0,0,1,1,1,1,1,2018
20180106,25.821875000000002,27.95520833333333,11.3375,44.614583333333336,6,7,1,0,1,1,1,1,1,2018
20180107,19.169791666666665,19.900000000000002,14.279166666666667,70.70833333333333,7,1,1,0,1,2,2,1,1,2018
20180108,18.754166666666666,19.335416666666667,13.927083333333334,71.88541666666667,8,2,0,0,2,2,2,1,1,2018
20180109,15.94375,18.528125,10.351041666666667,60.3125,9,3,0,0,2,2,2,1,1,2018
20180110,18.520833333333332,19.584374999999998,11.311458333333334,62.052083333333336,10,4,0,0,2,2,2,1,1,2018
20180111,24.069791666666664,24.90833333333333,11.761458333333332,52.020833333333336,11,5,0,0,2,2,2,1,1,2018
20180112,24.65833333333333,24.026041666666668,16.880208333333332,68.23958333333333,12,6,0,0,2,2,2,1,1,2018
20180113,14.630208333333334,15.638541666666667,12.642708333333333,85.64583333333333,13,7,1,0,2,2,2,1,1,2018
20180114,12.839583333333332,15.415625,9.237499999999999,70.09375,14,1,1,0,2,3,3,1,1,2018
20180115,15.575000000000001,17.162499999999998,12.852083333333333,76.88541666666667,15,2,0,0,3,3,3,1,1,2018
20180116,17.675,18.839583333333334,11.012500000000001,65.85416666666667,16,3,0,0,3,3,3,1,1,2018
20180117,20.821875000000002,21.690625,10.44375,57.177083333333336,17,4,0,0,3,3,3,1,1,2018
20180118,25.754166666666666,27.801041666666666,8.94375,41.458333333333336,18,5,0,0,3,3,3,1,1,2018
20180119,26.83020833333333,29.347916666666666,8.805208333333333,36.083333333333336,19,6,0,0,3,3,3,1,1,2018
20180120,23.639583333333334,22.432291666666668,18.696875000000002,80.69791666666667,20,7,1,0,3,3,3,1,1,2018
20180121,25.988541666666666,24.46875,18.9375,73.89583333333333,21,1,1,0,3,4,4,1,1,2018
20180122,23.085416666666664,22.477083333333336,17.529166666666665,75.70833333333333,22,2,0,0,4,4,4,1,1,2018
20180123,19.21875,20.566666666666666,12.913541666666667,63.125,23,3,0,0,4,4,4,1,1,2018
20180124,18.9375,19.667708333333334,13.709375,70.66666666666667,24,4,0,0,4,4,4,1,1,2018
20180125,23.291666666666668,22.563541666666666,17.102083333333333,73.95833333333333,25,5,0,0,4,4,4,1,1,2018
20180126,26.20625,23.878125,20.427083333333332,83.51041666666667,26,6,0,1,4,4,4,1,1,2018
20180127,29.2,26.634375000000002,20.33125,72.78125,27,7,1,0,4,4,4,1,1,2018
20180128,32.356249999999996,30.51770833333333,19.215625,56.5625,28,1,1,0,4,5,5,1,1,2018
20180129,28.226041666666664,27.72083333333333,18.642708333333335,61.96875,29,2,0,0,5,5,5,1,1,2018
20180130,15.010416666666666,17.013541666666665,12.239583333333334,75.89583333333333,30,3,0,0,5,5,5,1,1,2018
20180131,12.290625,15.860416666666666,6.95,55.979166666666664,31,4,0,0,5,5,5,1,1,2018
20180201,13.605208333333332,16.354166666666668,7.159375,56.614583333333336,1,5,0,0,1,1,5,2,1,2018
20180202,16.880208333333332,18.285416666666666,11.602083333333333,68.09375,2,6,0,0,1,1,5,2,1,2018
20180203,20.038541666666667,20.865624999999998,12.015625,61.21875,3,7,1,0,1,1,5,2,1,2018
20180204,20.420833333333334,20.931250000000002,12.762500000000001,64.60416666666667,4,1,1,0,1,2,6,2,1,2018
20180205,21.006249999999998,20.876041666666666,15.159374999999999,74.0625,5,2,0,0,1,2,6,2,1,2018
20180206,23.844791666666666,23.619791666666668,14.275,60.916666666666664,6,3,0,0,1,2,6,2,1,2018
20180207,27.26875,27.371875,13.362499999999999,51.302083333333336,7,4,0,0,1,2,6,2,1,2018
20180208,24.916666666666668,24.24791666666667,16.652083333333334,65.67708333333333,8,5,0,0,2,2,6,2,1,2018
20180209,23.818749999999998,22.547916666666666,18.152083333333334,78.14583333333333,9,6,0,0,2,2,6,2,1,2018
20180210,22.795833333333334,22.617708333333336,16.503125,71.54166666666667,10,7,1,0,2,2,6,2,1,2018
20180211,15.790625,18.215625,10.844791666666666,63.854166666666664,11,1,1,0,2,3,7,2,1,2018
20180212,16.087500000000002,18.777083333333334,8.383333333333333,51.729166666666664,12,2,0,0,2,3,7,2,1,2018
20180213,19.55,20.615624999999998,9.883333333333333,57.291666666666664,13,3,0,0,2,3,7,2,1,2018
20180214,16.446875000000002,21.196875000000002,5.620833333333334,37.28125,14,4,0,0,2,3,7,2,1,2018
20180215,15.619791666666666,18.002083333333335,8.101041666666667,54.072916666666664,15,5,0,0,3,3,7,2,1,2018
20180216,16.501041666666666,18.563541666666666,10.438541666666667,61.583333333333336,16,6,0,0,3,3,7,2,1,2018
20180217,17.073958333333334,18.381249999999998,10.742708333333333,65.9375,17,7,1,0,3,3,7,2,1,2018
20180218,18.534375,19.082291666666666,13.461458333333333,72.65625,18,1,1,0,3,4,8,2,1,2018
20180219,19.647916666666667,20.467708333333334,15.207291666666668,74.59375,19,2,0,1,3,4,8,2,1,2018
20180220,20.118750000000002,20.827083333333334,11.375,59.260416666666664,20,3,0,0,3,4,8,2,1,2018
20180221,20.598958333333332,21.95625,10.533333333333333,51.552083333333336,21,4,0,0,3,4,8,2,1,2018
20180222,24.188541666666666,24.287499999999998,13.413541666666667,52.177083333333336,22,5,0,0,4,4,8,2,1,2018
