DateKey,metered_consumption,peak_demand
20180101,72.06699999999998,9.44
20180102,112.59299999999993,10.336
20180103,101.26299999999998,18.068
20180104,101.572,11.598
20180105,123.6579999999999,11.473
20180106,75.01599999999995,9.096
20180107,221.28900000000002,27.907
20180108,300.5210000000001,19.349
20180109,397.612,33.734
20180110,229.66999999999993,21.529
20180111,222.73000000000002,24.541
20180112,108.86800000000001,13.884
20180113,143.5879999999999,13.793
20180114,113.79199999999993,13.215
20180115,108.09999999999995,12.114
20180116,124.14399999999995,14.21
20180117,142.76199999999994,16.671
20180118,130.15500000000003,14.051
20180119,137.92900000000006,15.115
20180120,138.083,13.162
20180121,394.85900000000015,29.119
20180122,385.9649999999999,29.066
20180123,405.93400000000014,34.856
20180124,349.2970000000001,34.211
20180125,302.21500000000003,27.715
20180126,357.1990000000001,29.582
20180127,345.10300000000024,31.915
20180128,191.91799999999998,17.386
20180129,203.44199999999987,21.423
20180130,260.43100000000004,20.675
20180131,145.982,20.196
20180201,133.155,17.118
20180202,129.53899999999996,12.564
20180203,137.37999999999994,17.475
20180204,184.4199999999999,22.391
20180205,241.38699999999994,23.994
20180206,217.71200000000002,21.865
20180207,247.39799999999994,23.715
20180208,320.52400000000006,30.661
20180209,370.4429999999997,32.066
20180210,243.119,24.565
20180211,264.237,24.151
20180212,136.575,14.773
20180213,198.4450000000001,22.238
20180214,188.42899999999997,17.848
20180215,165.16399999999996,19.144
20180216,153.06200000000004,16.169
20180217,164.39299999999994,15.323
20180218,192.8399999999999,22.029
20180219,250.66500000000005,25.729
20180220,243.65600000000015,26.87
20180221,253.47599999999994,25.732
20180222,267.668,26.438
20180223,304.84900000000016,21.578
20180224,365.6400000000001,28.588
20180225,288.037,33.036
20180226,237.03100000000003,24.58
20180227,247.793,27.684
20180228,286.32199999999983,28.818
20180301,244.40300000000013,24.278
20180302,221.376,20.793
20180303,232.93899999999996,21.203
20180304,269.96600000000007,27.678
20180305,248.48799999999997,29.718
20180306,241.83599999999998,26.165
20180307,232.139,20.112
20180308,259.759,26.33
20180309,347.79699999999997,32.562
20180310,295.2500000000002,25.486
20180311,162.08599999999998,16.965
