DateKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,Day,Weekday,IsWeekend,IsHoliday,DOWInMonth,WeekOfMonth,WeekOfYear,Month,Quarter,Year
20180101,22.130208333333332,23.368750000000002,9.727083333333333,47.4375,1,2,0,1,1,1,1,1,1,2018
20180102,20.733333333333334,23.23229166666667,9.166666666666666,44.375,2,3,0,0,1,1,1,1,1,2018
20180103,20.402083333333334,22.234375,10.364583333333334,49.53125,3,4,0,0,1,1,1,1,1,2018
20180104,22.71875,24.005208333333332,11.055208333333333,46.364583333333336,4,5,0,0,1,1,1,1,1,2018
20180105,25.563541666666666,26.519791666666666,11.844791666666666,46.270833333333336,5,6,0,0,1,1,1,1,1,2018
20180106,27.757291666666664,29.398958333333336,10.19375,37.3125,6,7,1,0,1,1,1,1,1,2018
20180107,29.554166666666664,30.616666666666664,11.382291666666667,35.145833333333336,7,1,1,0,1,2,2,1,1,2018
20180108,27.868750000000002,28.501041666666666,15.955208333333333,49.197916666666664,8,2,0,0,2,2,2,1,1,2018
20180109,23.828125,25.188541666666666,13.325000000000001,52.802083333333336,9,3,0,0,2,2,2,1,1,2018
20180110,22.015625,23.95,10.613541666666666,45.75,10,4,0,0,2,2,2,1,1,2018
20180111,26.734375,27.226041666666664,14.174999999999999,46.6875,11,5,0,0,2,2,2,1,1,2018
20180112,27.285416666666666,26.385416666666668,18.641666666666666,64.41666666666667,12,6,0,0,2,2,2,1,1,2018
20180113,17.183333333333334,20.005208333333332,13.061458333333334,69.65625,13,7,1,0,2,2,2,1,1,2018
20180114,14.596874999999999,18.039583333333333,6.504166666666666,50.916666666666664,14,1,1,0,2,3,3,1,1,2018
20180115,19.030208333333334,21.135416666666668,8.862499999999999,47.364583333333336,15,2,0,0,3,3,3,1,1,2018
20180116,18.053124999999998,22.58020833333333,7.880208333333333,40.333333333333336,16,3,0,0,3,3,3,1,1,2018
20180117,20.558333333333334,22.883333333333336,5.457291666666666,38.020833333333336,17,4,0,0,3,3,3,1,1,2018
20180118,23.645833333333332,25.230208333333334,7.333333333333333,38.864583333333336,18,5,0,0,3,3,3,1,1,2018
20180119,26.697916666666668,28.022916666666664,8.334375,36.4375,19,6,0,0,3,3,3,1,1,2018
20180120,28.683333333333334,30.022916666666664,9.414583333333333,34.145833333333336,20,7,1,0,3,3,3,1,1,2018
20180121,28.940625,30.803124999999998,9.238541666666666,34.260416666666664,21,1,1,0,3,4,4,1,1,2018
