DateKey,metered_consumption,peak_demand
20180101,3852.88,386.497
20180102,4524.799999999999,407.317
20180103,4548.063999999999,412.797
20180104,4588.384000000001,440.63
20180105,4992.224,439.035
20180106,1547.3760000000002,157.796
20180107,1774.4160000000008,149.187
20180109,5288.415999999997,447.499
20180110,4952.144000000002,459.574
20180111,5514.127999999997,484.537
20180113,1549.584000000001,130.878
20180114,1202.4800000000005,112.183
20180115,3711.6799999999994,338.594
20180116,4200.271999999999,371.468
20180117,4578.191999999999,409.506
20180118,4842.368000000001,445.099
20180119,5407.359999999998,512.586
20180120,1734.6560000000006,156.495
20180121,1943.28,161.193
20180126,5460.816,475.88
20180127,1897.359999999999,154.442
20180128,1840.048,151.558
20180131,4074.608,347.473
20180201,3887.968,321.276
20180202,4300.832,426.706
20180203,1665.8560000000002,140.505
20180204,1517.8880000000006,147.209
20180205,5456.607999999999,480.424
20180206,5709.520000000001,509.112
20180210,2041.1360000000006,136.076
20180211,1450.224,135.369
20180212,4279.679999999999,390.48
20180213,4634.544000000001,423.565
20180214,5221.088000000001,458.615
20180215,4377.424,386.998
20180216,4339.3279999999995,387.036
20180217,1850.6079999999993,142.023
20180218,1596.432,151.159
20180220,5199.327999999999,444.316
20180221,5012.208000000001,419.13
20180222,5569.743999999994,487.204
20180223,5802.608000000001,484.7
20180224,2895.5360000000005,231.981
20180225,2134.032,190.172
20180226,4663.776000000001,431.225
20180227,4666.4800000000005,403.771
20180228,5534.496000000002,485.534
20180301,5026.2080000000005,445.331
20180302,4896.256,454.482
20180303,1589.568,149.975
20180304,1553.1839999999997,138.218
20180305,4810.480000000001,450.204
20180306,5010.048,447.577
20180307,5280.767999999997,461.667
20180308,4824.064,494.548
20180309,5111.776,494.822
20180310,1664.4319999999993,144.225
20180311,1761.3759999999997,159.386
20180312,5361.888,443.496
20180313,4879.168,424.273
20180314,5593.2480000000005,463.782
20180315,5190.256000000001,456.917
20180316,4939.568,443.334
20180317,1875.6,151.524
20180318,2057.4879999999994,144.552
20180319,4214.7519999999995,372.371
20180320,4955.456,487.427
20180321,4997.615999999998,410.675
20180322,4777.152000000001,416.466
20180323,4569.776000000003,376.741
20180324,2295.0080000000007,178.959
20180325,2363.68,158.83
20180326,3431.9840000000017,225.969
20180327,3558.4639999999986,306.598
20180328,4566.239999999997,395.317
20180329,4961.391999999998,497.418
20180330,3469.999999999998,324.821
20180331,1655.9840000000008,125.709
20180401,1885.8240000000003,144.103
20180402,3634.9119999999994,320.147
20180403,3593.616,329.008
20180404,4616.048,418.713
20180405,5159.360000000003,503.045
20180406,4089.52,387.558
20180407,1789.4560000000004,126.497
20180408,1892.1280000000004,145.17
20180409,5007.68,466.858
20180410,4795.407999999999,439.354
20180411,5476.144000000001,538.308
20180413,4870.432,463.825
20180414,1943.2799999999997,129.299
20180415,2042.384,125.428
20180416,4034.7839999999997,306.087
20180417,3628.5440000000012,324.144
20180418,4059.904,348.48
20180419,4150.768,344.57
20180420,4051.3119999999994,335.91
20180421,1799.6640000000004,130.82
20180422,1799.52,134.6
20180423,4087.039999999999,369.814
20180424,4259.536000000001,361.019
20180425,3736.5919999999996,282.143
20180426,3738.1439999999993,295.169
20180427,3585.392,287.643
20180428,1684.7520000000002,120.23
20180429,1690.2559999999994,127.02
20180430,3647.407999999999,303.617
20180501,3836.784,330.137
20180502,4185.456,318.656
20180503,4607.136,402.433
20180504,3396.143999999999,235.387
20180505,1803.7599999999998,119.444
20180506,1724.224,122.96
20180507,3653.1840000000007,279.185
20180508,3782.6079999999993,315.443
20180509,3762.768000000001,284.273
20180510,3619.1039999999985,239.534
20180511,3782.368,242.984
20180512,1791.952000000001,118.905
20180513,1752.1279999999995,125.679
20180514,3493.0559999999996,269.136
20180515,3423.7119999999995,230.986
20180516,3476.2719999999995,233.819
20180517,3425.3120000000013,229.301
20180518,3572.064,221.429
20180519,1920.2559999999999,118.637
20180520,2061.5359999999996,127.157
20180521,3669.663999999999,248.435
20180522,3832.271999999998,259.167
20180523,3879.3920000000016,240.978
20180524,3529.1200000000013,238.386
20180525,3497.5040000000017,253.728
20180526,1904.8799999999994,137.955
20180527,1980.0799999999997,111.324
20180528,3741.551999999999,283.151
20180529,3927.584,250.161
20180530,3560.448,235.551
20180531,3423.9040000000014,224.306
20180601,3386.0799999999977,234.814
20180602,2113.92,137.989
20180603,2264.1280000000006,131.85
20180604,3692.56,273.949
20180605,3750.752,237.064
20180606,3871.984,297.621
20180607,3836.112,276.664
20180608,3941.9199999999996,242.314
20180609,2201.583999999999,123.033
20180610,1872.08,118.956
20180611,2994.335999999999,211.654
20180612,3640.688,248.146
20180613,3556.4320000000002,235.538
20180614,3720.8000000000006,243.472
20180615,3723.775999999998,236.632
20180616,2173.936000000001,127.988
20180617,2367.8399999999992,127.659
20180618,3614.096,241.468
20180619,3528.0159999999987,235.297
20180620,3724.1920000000005,230.883
20180621,3492.8160000000007,242.35
20180622,3440.800000000001,232.686
20180623,2142.6559999999995,123.662
20180624,2034.6720000000007,122.012
20180625,3591.615999999999,244.814
20180626,3509.088000000001,233.828
20180627,3650.368000000001,251.973
20180628,3793.0399999999986,246.082
20180629,3818.896,238.093
20180630,2305.472,122.232
20180701,2075.5040000000004,118.906
20180702,3335.0400000000013,227.579
20180703,3437.0880000000006,229.498
20180704,3594.4800000000014,235.448
20180705,3391.5200000000004,242.716
20180706,3193.696,208.416
20180707,2162.3200000000006,132.701
20180708,2221.232,131.194
20180709,3099.056,216.951
20180710,3035.1040000000007,219.083
20180711,3672.064,229.732
20180712,3333.6639999999998,219.722
20180713,3481.967999999999,215.562
20180714,1928.7839999999994,138.091
20180715,2152.4159999999993,135.354
20180716,3472.1439999999984,226.976
20180717,2945.1200000000003,206.877
20180718,3181.776,205.828
20180719,2965.552,214.45
20180720,3203.0559999999978,214.614
20180721,1957.4720000000004,138.589
20180722,2048.4160000000006,135.214
20180723,3326.7999999999997,229.289
20180724,3191.4879999999994,202.03
20180725,3188.64,222.769
20180726,3257.727999999999,221.851
20180727,2979.744,208.384
20180728,2116.1760000000004,134.781
20180729,2041.7919999999997,135.63299999999998
20180730,3403.6800000000007,222.148
20180731,3087.487999999999,242.018
20180801,3048.687999999998,207.63099999999997
20180802,2954.7679999999996,218.36900000000003
20180803,3416.336,216.78099999999998
20180804,2169.136,138.666
20180805,1880.7520000000006,149.881
20180806,3074.7839999999983,204.46200000000002
20180807,3119.2639999999997,211.08599999999998
20180808,3661.744,219.433
20180809,2983.359999999999,207.558
20180810,2793.0239999999994,235.033
20180811,2246.56,133.512
20180812,1946.3520000000005,139.526
20180813,3280.672000000001,212.074
20180814,3112.207999999999,207.257
20180815,3739.9519999999998,230.43400000000003
20180816,3136.3840000000005,203.778
20180817,3122.0000000000005,221.128
20180818,2140.4160000000006,134.85
20180819,1798.2240000000006,136.6
20180820,3056.704,205.329
20180821,3346.080000000001,207.111
20180822,3260.912,210.421
20180823,3302.896000000001,221.097
20180824,2928.2239999999993,219.037
20180825,1828.9439999999995,150.83700000000002
20180826,1880.0000000000007,155.189
20180827,2727.504,195.107
20180828,2598.2880000000005,187.62
20180829,2283.2960000000003,202.551
20180830,3243.135999999999,206.215
20180831,3351.4719999999984,216.695
20180901,1941.36,136.11700000000002
20180902,1542.3039999999999,125.1
20180903,2772.4,234.023
