DateKey,metered_consumption,peak_demand
20180101,54359.08700000001,2901.243
20180102,61748.68300000001,3460.953
20180103,61799.07600000003,3522.705
20180104,64340.698999999986,3737.434
20180105,67272.942,3978.117
20180106,58722.90399999998,3392.316
20180107,52482.56999999999,2487.063
20180108,66829.088,3955.03
20180109,66794.89000000001,3830.359
20180110,67849.286,3962.092
20180111,75282.69799999999,4640.472
20180112,75993.801,4646.437
20180113,50357.664999999986,2631.746
20180114,52731.955999999984,2408.571
20180115,66264.541,3735.369
20180116,72260.643,4301.357
20180117,77386.034,4459.994
20180118,84148.35799999998,5329.971
20180119,85449.72399999997,5330.355
20180120,59906.39700000002,2859.359
20180121,59617.48099999998,2997.39
20180122,78149.018,4915.714
20180123,76972.93899999998,4505.335
20180124,77246.71499999998,4414.715
20180125,82196.02499999998,5106.985
20180126,75962.809,4351.777
20180127,70641.735,3787.372
20180128,73840.19100000004,3797.567
20180129,88676.18400000002,5395.952
20180130,76339.204,4287.32
20180131,73422.25700000001,4129.721
20180201,72981.20099999999,4217.863
20180202,73285.86400000002,4300.14
20180203,58228.55699999997,2887.867
20180204,59240.08299999999,2920.957
20180205,76325.07099999998,4605.187
20180206,81854.70299999996,4956.066
20180207,88140.83899999995,5370.847
20180208,86183.194,5265.011
20180209,83776.66699999997,4848.375
20180210,66928.016,3330.771
20180211,60425.569999999985,2853.542
20180212,75963.63300000002,4336.925
20180213,78628.73199999999,4754.205
20180214,78381.31900000002,4497.478
20180215,71604.428,4360.136
20180216,73486.271,4223.116
20180217,61443.96399999997,3210.097
20180218,60642.242000000006,3111.505
20180219,78351.94599999998,4752.496
20180220,78818.34799999998,4721.082
20180221,79454.30999999995,4704.912
20180222,83434.527,5106.777
20180223,84719.363,5032.087
20180224,65993.40200000003,3596.133
20180225,58129.50799999997,2727.693
20180226,77237.52499999997,4707.784
20180227,80862.80900000001,4958.501
20180228,81932.03300000004,5274.384
20180301,68312.61699999998,4405.038
20180302,76995.95700000001,4503.812
20180303,64347.55,3488.642
20180304,58781.85899999999,2844.016
20180305,77771.80799999998,4563.358
20180306,80085.50300000001,4779.986
20180307,82876.77200000003,5142.858
20180308,85056.896,5321.509
20180309,83696.89900000002,5196.289
20180310,69337.442,3760.389
20180311,62210.101000000024,3139.424
20180312,76874.108,4367.266
20180313,79457.62100000003,4796.094
20180314,80225.88300000002,4790.821
20180315,79069.452,4629.171
20180316,78132.94600000001,4656.296
20180317,66955.69299999998,3565.219
20180318,63149.73400000002,2968.738
20180319,81512.20199999996,5098.271
20180320,79403.71299999999,4603.017
20180321,80570.92099999997,4844.954
20180322,80219.86199999998,4839.531
20180323,80739.601,4912.881
20180324,60325.394,2956.222
20180325,56057.70699999998,2716.441
20180326,73537.94200000001,4386.197
20180327,75675.06299999995,4473.544
20180328,80449.91400000002,4922.989
20180329,77588.40500000001,4656.975
20180330,62921.77599999998,3300.019
20180331,55956.17700000003,2706.66
20180401,55948.36099999999,2723.436
20180402,60783.630999999994,3067.315
20180403,62555.88900000001,3342.99
20180404,73765.60199999998,4421.306
20180405,72267.787,4055.582
20180406,72632.10200000001,4126.678
20180407,58532.54699999999,2953.373
20180408,60121.72000000002,3063.932
20180409,79370.29199999999,4843.333
20180410,82186.15800000002,4991.276
20180411,81666.72,4945.246
20180412,83618.67799999996,4861.583
20180413,78745.85800000001,4702.912
20180414,57901.35799999999,2653.392
20180415,56205.08599999999,2648.441
20180416,76711.14399999997,4475.813
20180417,75224.73099999996,4387.617
20180418,75830.68400000001,4568.331
20180419,75974.98099999999,4513.453
20180420,75370.52,4442.375
20180421,58976.25099999998,2950.616
20180422,58566.71200000001,2950.72
20180423,77746.59000000003,4685.782
20180424,78714.15500000001,4671.762
20180425,64716.576999999976,3272.761
20180426,75728.05000000002,4368.576
20180427,74194.39900000005,4220.289
20180428,57248.16099999999,2738.59
20180429,57078.70599999997,2651.414
20180430,75858.63700000002,4348.237
20180501,76738.65800000005,4522.854
20180502,78062.33000000002,4524.446
20180503,76631.07200000001,4493.662
20180504,74373.01,4293.374
20180505,57942.949,2732.951
20180506,57885.43,2723.627
20180507,76076.99599999997,4343.116
20180508,77102.82999999999,4438.614
20180509,76491.92800000001,4317.877
20180510,75858.508,4319.615
20180511,73084.66200000001,4112.989
