DateKey,metered_consumption,peak_demand
20180101,442.1869999999999,80.118
20180102,427.1910000000001,72.671
20180103,478.1540000000002,82.604
20180104,680.758,105.068
20180105,799.5649999999996,106.022
20180106,253.85799999999995,55.437
20180107,361.3289999999999,98.948
20180108,1037.483,102.93
20180109,576.2499999999999,92.004
20180110,752.496,75.834
20180111,927.8260000000005,114.661
20180112,1170.4549999999995,115.597
20180113,229.55699999999987,61.162
20180114,224.56700000000006,61.789
20180115,601.6230000000002,92.097
20180116,673.5529999999997,110.185
20180117,827.267,108.17
20180118,1000.244,123.44
20180119,1171.8579999999997,124.111
20180120,253.30100000000004,43.662
20180121,259.2759999999999,43.292
20180123,934.6199999999997,115.89
20180124,990.249,113.436
20180125,1181.2009999999998,113.92
20180126,1050.0550000000005,113.411
20180127,267.471,47.123
20180128,263.8200000000001,42.579
20180130,746.608,103.019
20180131,524.9860000000002,92.189
20180201,561.751,74.274
20180202,695.0150000000001,91.078
20180203,244.119,54.078
20180204,249.78600000000014,55.255
20180205,1051.8549999999996,112.658
20180206,951.6439999999998,110.4
20180207,1124.5780000000002,117.372
20180209,1181.4729999999997,117.819
20180210,287.1810000000001,39.375
20180211,240.01300000000003,61.188
20180212,701.7449999999999,93.461
20180213,616.353,86.304
20180214,681.036,84.736
20180215,621.2030000000003,79.402
20180216,585.0250000000003,82.797
20180217,441.0020000000001,82.979
20180218,268.6990000000001,47.975
20180219,991.1649999999996,113.605
20180220,1027.7179999999998,109.513
20180221,1221.4890000000003,110.112
20180224,298.34800000000007,47.922
20180225,252.00000000000006,56.17
20180226,660.8909999999997,92.172
20180227,954.2160000000003,107.864
20180228,936.2499999999999,93.599
20180301,746.9549999999999,84.142
20180302,810.3420000000001,98.047
20180303,240.89100000000002,50.394
20180304,222.19600000000005,55.072
20180305,621.484,92.238
20180306,669.008,91.126
20180307,900.8780000000003,103.059
20180308,925.7110000000001,100.566
20180309,949.9070000000003,107.724
20180310,235.79100000000003,48.37
20180311,284.1350000000002,73.03
20180312,597.4289999999999,89.542
20180313,620.919,77.528
20180314,695.1669999999999,92.199
20180315,735.1930000000007,84.382
20180316,972.2649999999998,109.095
20180317,257.96599999999995,46.819
20180318,239.63299999999992,54.698
20180319,697.1759999999994,94.668
20180320,639.281,81.697
20180321,778.612,100.531
20180322,908.3379999999999,100.298
20180323,966.1539999999999,105.355
20180324,292.18700000000007,46.739
20180325,303.1420000000001,47.407
20180326,619.333,85.755
20180327,773.7100000000002,90.091
