DateKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,Day,Weekday,IsWeekend,IsHoliday,DOWInMonth,WeekOfMonth,WeekOfYear,Month,Quarter,Year
20180101,19.020833333333332,21.660416666666666,8.959375,50.520833333333336,1,2,0,1,1,1,1,1,1,2018
20180102,15.90625,19.648958333333333,8.572916666666666,52.927083333333336,2,3,0,0,1,1,1,1,1,2018
20180103,15.09375,19.167708333333334,7.2562500000000005,49.072916666666664,3,4,0,0,1,1,1,1,1,2018
20180104,19.392708333333335,21.95520833333333,8.99375,48.479166666666664,4,5,0,0,1,1,1,1,1,2018
20180105,22.296875,24.934375,8.964583333333334,44.145833333333336,5,6,0,0,1,1,1,1,1,2018
20180106,25.836458333333336,30.308333333333334,5.878125,27.552083333333332,6,7,1,0,1,1,1,1,1,2018
20180107,22.89375,25.172916666666666,10.741666666666667,43.177083333333336,7,1,1,0,1,2,2,1,1,2018
20180108,23.073958333333334,24.086458333333336,12.644791666666668,50.427083333333336,8,2,0,0,2,2,2,1,1,2018
20180109,15.616666666666667,19.607291666666665,8.585416666666667,53.53125,9,3,0,0,2,2,2,1,1,2018
20180110,17.291666666666668,20.582291666666666,5.319791666666666,43.864583333333336,10,4,0,0,2,2,2,1,1,2018
20180111,22.54479166666667,25.212500000000002,6.191666666666666,34.927083333333336,11,5,0,0,2,2,2,1,1,2018
20180112,24.058333333333334,25.557291666666668,14.221874999999999,51.5625,12,6,0,0,2,2,2,1,1,2018
20180113,13.06875,16.808333333333334,9.244791666666666,63.40625,13,7,1,0,2,2,2,1,1,2018
20180114,11.893749999999999,16.502083333333335,5.305208333333334,51.802083333333336,14,1,1,0,2,3,3,1,1,2018
20180115,14.872916666666667,18.755208333333332,8.783333333333333,54.677083333333336,15,2,0,0,3,3,3,1,1,2018
20180116,16.509375000000002,21.197916666666668,6.2906249999999995,45.135416666666664,16,3,0,0,3,3,3,1,1,2018
