DateKey,metered_consumption,peak_demand
20180101,467.2760000000001,39.6
20180102,469.6760000000001,44.4
20180103,468.654,46.801
20180104,485.9330000000001,49.68
20180105,472.55099999999993,41.76
20180106,507.6520000000001,45.12
20180107,564.525,41.76
20180108,666.16,43.68
20180109,2089.965,119.064
20180110,1495.5490000000004,114.184
20180111,1896.7049999999995,138.96
20180112,651.1630000000005,61.647
20180113,528.1690000000001,40.556
20180114,468.23,42.716
20180115,538.5489999999999,64.8
20180116,543.231,66.476
20180117,603.349,60.244
20180118,661.7180000000002,56.641
20180119,895.962,58.324
20180120,648.8200000000002,49.2
20180121,925.5480000000002,67.442
20180122,1083.7020000000005,80.889
20180123,852.7959999999996,74.402
20180124,845.5619999999999,69.89
20180125,879.2879999999999,64.003
20180126,843.3480000000003,57.364
20180127,695.3290000000001,60.488
20180128,1004.6229999999999,86.444
20180129,1898.8700000000006,148.407
20180130,1272.5199999999998,83.759
20180131,889.0039999999997,77.28
20180201,816.398,84.498
20180202,915.7579999999998,60.8
20180203,757.66,66.251
20180204,857.1410000000002,78.96
20180205,1316.5099999999998,93.865
20180206,1648.423,138.277
20180207,1984.6690000000006,138.82
20180208,2259.464,150.7
20180209,2406.8279999999995,147.842
20180210,1459.3680000000002,104.461
20180211,1827.885,126.74799999999999
20180212,521.6830000000001,43.778
20180213,1686.3449999999991,136.804
20180214,1344.9389999999999,77.334
20180215,1438.604,88.826
20180216,1180.1239999999996,73.581
20180217,1253.2679999999998,92.445
20180218,1601.8680000000002,106.119
20180219,1994.9839999999992,126.479
20180220,2129.2089999999994,164.77
20180221,2067.2210000000005,132.305
20180222,2012.993,112.532
20180223,1984.1300000000003,133.658
20180224,1847.3830000000005,106.451
20180225,1578.3999999999999,108.772
20180226,2122.969,143.909
20180227,2237.9849999999988,149.931
20180228,2332.6639999999993,174.72
20180301,1866.7069999999999,114.643
20180302,1890.5279999999998,109.361
20180303,1590.7600000000002,114.623
20180304,1674.2260000000003,138.521
20180305,1892.2700000000007,130.803
20180306,2166.7669999999994,162.812
20180307,2304.411,151.255
20180308,2451.5840000000007,156.062
20180309,2632.008999999999,169.204
20180310,1552.2480000000003,127.02600000000001
20180311,1089.6359999999997,95.35700000000001
20180312,535.3669999999998,42.901
20180313,2150.687,134.007
20180314,2164.7230000000004,143.129
20180315,1944.6470000000006,111.362
20180316,1777.0049999999999,105.653
20180317,1522.4189999999999,106.807
20180318,1606.3620000000003,128.16
20180319,1885.3100000000006,137.763
20180320,1746.996,101.143
20180321,1928.9779999999998,138.311
20180322,1957.969,125.927
20180323,1847.3899999999996,103.015
20180324,1543.3629999999996,88.375
20180325,1545.1070000000002,122.51
20180326,1773.0459999999998,118.595
20180327,1681.8410000000001,118.131
20180328,1840.181,151.623
20180329,1644.8880000000004,89.296
20180330,1058.5620000000001,75.391
20180331,859.8349999999998,61.442
20180401,947.202,69.847
