DateKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,Day,Weekday,IsWeekend,IsHoliday,DOWInMonth,WeekOfMonth,WeekOfYear,Month,Quarter,Year
20180101,20.261458333333334,23.271874999999998,8.7125,43.9375,1,2,0,1,1,1,1,1,1,2018
20180102,17.740624999999998,21.761458333333334,7.472916666666666,43.010416666666664,2,3,0,0,1,1,1,1,1,2018
20180103,17.465625,21.298958333333335,6.10625,41.572916666666664,3,4,0,0,1,1,1,1,1,2018
20180104,23.140625,25.727083333333336,7.060416666666666,33.197916666666664,4,5,0,0,1,1,1,1,1,2018
20180105,27.038541666666664,29.692708333333332,6.3343750000000005,26.53125,5,6,0,0,1,1,1,1,1,2018
20180106,29.972916666666666,34.391666666666666,3.5031250000000003,19.541666666666668,6,7,1,0,1,1,1,1,1,2018
20180107,27.35625,30.238541666666666,7.513541666666666,25.770833333333332,7,1,1,0,1,2,2,1,1,2018
20180108,24.961458333333336,27.38854166666667,8.989583333333334,32.583333333333336,8,2,0,0,2,2,2,1,1,2018
20180109,19.602083333333333,23.68541666666667,6.802083333333333,37.0625,9,3,0,0,2,2,2,1,1,2018
20180110,19.163541666666667,22.03333333333333,5.079166666666667,34.697916666666664,10,4,0,0,2,2,2,1,1,2018
20180111,26.56458333333333,28.989583333333332,6.8031250000000005,28.625,11,5,0,0,2,2,2,1,1,2018
20180112,26.76875,28.342708333333334,13.586458333333333,43.90625,12,6,0,0,2,2,2,1,1,2018
20180113,16.651041666666668,20.338541666666668,9.482291666666667,52.614583333333336,13,7,1,0,2,2,2,1,1,2018
20180114,14.502083333333333,19.277083333333334,2.6843749999999997,37.197916666666664,14,1,1,0,2,3,3,1,1,2018
20180115,19.172916666666666,23.413541666666664,4.066666666666666,30.020833333333332,15,2,0,0,3,3,3,1,1,2018
20180116,22.190625,25.852083333333336,6.189583333333334,33.083333333333336,16,3,0,0,3,3,3,1,1,2018
20180117,24.34375,27.95104166666667,-0.010416666666666656,20.270833333333332,17,4,0,0,3,3,3,1,1,2018
20180118,26.90416666666667,31.203125,-2.466666666666667,14.854166666666666,18,5,0,0,3,3,3,1,1,2018
20180119,29.235416666666666,33.449999999999996,-1.5854166666666665,14.104166666666666,19,6,0,0,3,3,3,1,1,2018
20180120,31.105208333333334,34.334375,4.707291666666666,20.197916666666668,20,7,1,0,3,3,3,1,1,2018
20180121,31.340625,34.496874999999996,7.216666666666666,21.395833333333332,21,1,1,0,3,4,4,1,1,2018
20180122,30.855208333333334,32.952083333333334,10.011458333333334,25.020833333333332,22,2,0,0,4,4,4,1,1,2018
20180123,24.978125000000002,28.73125,5.953125,28.03125,23,3,0,0,4,4,4,1,1,2018
20180124,26.390625,29.697916666666668,7.295833333333333,26.0625,24,4,0,0,4,4,4,1,1,2018
